Id,SalePrice
1461,142148.3462972376
1462,176653.734501444
1463,176327.50924415895
1464,182782.85787665195
1465,142784.20832015635
1466,185747.20130100497
1467,146843.26295996152
1468,161307.93895130025
1469,177945.67640306248
1470,118829.97018168752
1471,217256.83818113944
1472,108966.60562293859
1473,97668.05877644893
1474,149192.24596206282
1475,123373.9932153956
1476,289651.48309490754
1477,191475.15004515534
1478,227759.50233385037
1479,324693.27726031793
1480,350068.3530023389
1481,312545.23941977514
1482,196925.87892773075
1483,137059.25627049708
1484,171912.03272198932
1485,169454.1148289712
1486,185920.3276122397
1487,218775.71456377997
1488,211341.40617282002
1489,171273.7503464452
1490,192818.9644677469
1491,197719.09844492874
1492,125937.83241626101
1493,178055.1346749389
1494,235759.86027765222
1495,287228.42448001733
1496,259204.52063379931
1497,134970.86963881485
1498,150574.74735600522
1499,145768.72791242224
1500,147604.54466968065
1501,174742.06097091993
1502,110733.69660071598
1503,251867.1236852856
1504,198543.0103296924
1505,264231.86346903455
1506,182241.66526003016
1507,280985.3852811122
1508,170854.02971164486
1509,168403.0579828344
1510,159897.9835871711
1511,156875.7524253375
1512,203104.81604236446
1513,164868.5653060246
1514,257987.7723856959
1515,220648.42850705722
1516,143685.68785660696
1517,151251.5066732522
1518,182737.00530545446
1519,221534.1031969642
1520,129324.97567853889
1521,148521.10820761276
1522,159370.87700861093
1523,112355.60059123117
1524,107752.14537341041
1525,130019.53026219505
1526,149703.19005611484
1527,123277.9210301801
1528,129323.61928363916
1529,145868.123266835
1530,167844.99149410322
1531,137211.44979824367
1532,142987.13476641904
1533,149390.4954161785
1534,128081.144034726
1535,193299.60794773855
1536,131531.50680981582
1537,129148.09603261172
1538,151200.7074344655
1539,157311.50592471065
1540,167059.78654698297
1541,159231.1954810888
1542,123743.72931333659
1543,185130.27256366407
1544,87781.67365788604
1545,124438.60060856721
1546,122369.44020212043
1547,124148.80047061051
1548,121254.57099482225
1549,119209.17359068115
1550,132598.32148000522
1551,151307.6724649702
1552,182480.21925541674
1553,186959.023768087
1554,139988.5780470942
1555,243732.5556817842
1556,132827.14149605445
1557,155991.84208430283
1558,114026.59160315814
1559,135818.16732579676
1560,122581.26565604111
1561,214943.8294962149
1562,125271.81723294467
1563,124187.12368466893
1564,174537.79186305354
1565,165159.80196585477
1566,247488.50325364948
1567,96418.17375734917
1568,237685.17383054562
1569,187652.29656354952
1570,146898.25646385315
1571,121821.91151189478
1572,153358.81815324872
1573,179211.31731808145
1574,173741.40089775997
1575,199820.96040115823
1576,210605.19025885372
1577,190745.87875449445
1578,184425.6300109445
1579,139462.8836227896
1580,171294.43655533533
1581,162719.91595330252
1582,123574.707623251
1583,336114.69491801684
1584,217917.78630203835
1585,144515.18019243484
1586,95143.58455522584
1587,91854.93807722353
1588,158264.09415254692
1589,140330.84205360376
1590,111790.61702640282
1591,108709.93664895387
1592,124921.29881421306
1593,107770.28474477766
1594,167289.8692170275
1595,141917.45873919362
1596,187436.10008818214
1597,250196.30886537235
1598,200415.95487894068
1599,136955.28072402033
1600,182404.74368841993
1601,90404.47375633684
1602,114667.54292727433
1603,96079.9541710186
1604,261377.573976832
1605,272887.6081077358
1606,157079.79600703277
1607,266940.7395428477
1608,206418.85857016972
1609,129772.79010697811
1610,164613.71978681747
1611,190676.6415422718
1612,188483.0947043728
1613,208510.3015215039
1614,130953.46292218802
1615,104987.15098387726
1616,92120.11041602513
1617,96486.97834824168
1618,120850.50483073981
1619,136266.34051124303
1620,161703.18292282106
1621,152781.81483874985
1622,157616.5340301251
1623,222870.3368495992
1624,198177.22026250628
1625,141793.8042906143
1626,183343.47207850963
1627,213605.77566406818
1628,278786.5485681419
1629,172977.34611063753
1630,227714.30940367226
1631,179603.75907078502
1632,191293.4967911476
1633,138067.8635722977
1634,188809.93546730754
1635,190391.02373853818
1636,176861.11250525372
1637,217146.59848903227
1638,195364.7277695422
1639,181382.12211012654
1640,321668.60774329613
1641,169620.5386364157
1642,180296.3274343417
1643,176675.6863510201
1644,195706.5497536485
1645,186939.42054801233
1646,157433.61438690344
1647,155250.38847640608
1648,184259.6619295861
1649,137571.0569222855
1650,128824.4394612737
1651,122159.59567285575
1652,94776.16412685433
1653,94847.52190090824
1654,153520.8132188222
1655,139663.59330659767
1656,151373.62371844854
1657,153490.29305462184
1658,151287.3209863404
1659,82909.71556548116
1660,145080.2778774323
1661,393899.73832816666
1662,322038.3065543691
1663,371125.40269906784
1664,401932.815535726
1665,251197.05078187727
1666,253504.2909699902
1667,286275.2103746491
1668,254173.0142218719
1669,241230.14878565015
1670,349418.62031228334
1671,318482.13382385724
1672,413433.6692347019
1673,281353.66116753843
1674,239818.40872415414
1675,198396.73173941125
1676,208468.90065941878
1677,179487.73743165756
1678,390805.02058889216
1679,414896.88589456194
1680,250645.9494312076
1681,199186.94358073804
1682,228951.0222016757
1683,186086.44668818786
1684,163190.2555441618
1685,162873.56536954053
1686,174869.30052385354
1687,148345.6622202427
1688,182701.12776815303
1689,192588.99304952362
1690,176739.40009848255
1691,181321.32987433905
1692,231805.09605062677
1693,162741.83936024204
1694,202936.35716051262
1695,159056.66182677296
1696,252987.8875399401
1697,159025.89268289827
1698,316858.9999646069
1699,228764.95818579625
1700,222109.51835961392
1701,248566.76513511484
1702,231537.1093328367
1703,247863.025583502
1704,278386.4200591525
1705,203367.88245984804
1706,348546.8343207148
1707,186273.93377278963
1708,198194.4712592241
1709,250312.25961271187
1710,192790.84477548057
1711,274698.43950842397
1712,246782.5811946421
1713,254507.96666859722
1714,224945.55878891502
1715,201098.46951550184
1716,122095.64254831197
1717,185673.992213859
1718,166857.16368173386
1719,212318.40972006254
1720,194593.2897465981
1721,137287.98684699857
1722,136320.66277066423
1723,153354.46280533008
1724,192345.05851278783
1725,227034.95403451513
1726,179841.3930308887
